course,professor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Other
AAST298J,Terry Park,2,9,4,1,0,0,0,0,0,0,0,0,0,1,0
AAST298O,Binod Paudyal,11,5,1,0,1,1,0,0,0,0,0,0,0,0,1
AAST298O,Jyoti Mohan,6,8,1,0,1,0,0,2,0,0,0,0,2,2,4
AAST351,Binod Paudyal,69,47,30,3,2,2,4,0,0,0,0,1,2,3,1
AAST351,Janelle Wong,18,8,0,1,1,1,0,0,0,0,0,0,0,0,0
AAST351,Terry Park,4,19,6,0,0,0,0,0,0,0,0,0,0,0,1
AAST355,Binod Paudyal,9,11,1,1,0,0,1,0,0,0,0,0,1,0,1
AAST355,Jennifer Cho,24,23,7,2,0,2,1,0,0,0,0,0,0,2,0
AAST363,Gemirald Daus,9,18,10,11,11,8,3,3,4,0,1,1,1,2,3
AAST378,Janelle Wong,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
AAST378,Julie Park,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
AAST388,Janelle Wong,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0
AAST388,Kai Kai Mascarenas,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
AAST388,Katelin Chow,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAST388,Terry Park,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0
AAST388,Thu Khuc,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
AAST388,Ying Wang,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0
AAST394,Joan Hong,10,19,19,9,3,0,0,0,0,0,0,0,0,1,0
AAST394,Yeram Cheong,35,118,13,8,1,1,1,0,3,0,0,0,0,3,3
AAST398A,Thu Khuc,2,10,13,9,10,6,3,0,0,0,0,0,2,1,1
AAST398B,David Kim,0,12,1,0,1,0,0,0,1,0,2,0,0,3,0
AAST398B,Lawrence-Minh Davis,0,3,3,3,7,1,4,0,0,0,0,0,3,2,0
