professor,avg_gpa,total_grades
Anisha Singh,3.494270833333333,192
Anissa Scharborough,3.7461538461538457,13
Anita Gopal,3.677777777777778,9
Anita Sanyal,3.808405172413793,464
Anita Seate,2.880598958333333,1536
Anita Weisburger,3.867441860465116,43
Anja Ketterl,3.0589743589743588,117
Anjali Sheth,3.7166666666666663,72
Anjula Batra,3.638888888888888,36
Anjuman Akhter,3.603846153846154,26
Ankit Battawar,3.763157894736842,19
Ankur Srivastava,3.451693002257336,443
Anmol Dash,3.427669902912621,206
Ann Anderson,3.5262068965517237,290
Ann Battle,3.306840390879479,307
Ann Becks,3.8185185185185184,27
Ann Bracken,3.0691616766467065,334
Ann Chismar,3.775609756097561,41
Ann Edwards,3.6315789473684212,38
Ann Holmes,3.8403846153846155,156
