stop_id,title,lat,long,stop_title
rhodcher,Rhode Island Avenue and Cherokee Street (Outbound),39.0023911,-76.9244429,Rhode Island Avenue and Cherokee Street (Outbound)
rhodfox,Rhode Island Avenue and Fox Street (Outbound),39.0059745,-76.9235001,Rhode Island Avenue and Fox Street (Outbound)
rhodholl,Rhode Island Avenue and Hollywood Road (Outbound),39.0108965,-76.9221691,Rhode Island Avenue and Hollywood Road (Outbound)
rhodshop,Rhode Island Avenue at Hollywood Shopping Center,39.0138375,-76.9213841,Rhode Island Avenue at Hollywood Shopping Center
edgerhod,Edgewood Road and Rhode Island Avenue (Outbound),39.0161019,-76.9214156,Edgewood Road and Rhode Island Avenue (Outbound)
edge49th,Edgewood Road and 49th Avenue (Outbound),39.0160649,-76.924355,Edgewood Road and 49th Avenue (Outbound)
mazz,Mazza GrandMarc,39.0111215,-76.9300394,Mazza GrandMarc
baltberw_s,Baltimore Ave and Berwyn Rd (Inbound),38.996407,-76.931829,Baltimore Ave and Berwyn Rd (Inbound)
baltqueb_in,Baltimore Ave and Quebec St (Inbound),38.9946243,-76.932356,Baltimore Ave and Quebec St (Inbound)
varsfron,Baltimore Ave at The Varsity,38.9908311,-76.9340076,Baltimore Ave at The Varsity
dent_e,Denton Hall,38.9919412,-76.9500943,Denton Hall
