name,code,id,long,lat
School of Public Health,SPH,255,-76.94316338,38.9934922
Security Booth (Campus Drive),,295,-76.93651031,38.98857565
Security Booth (Stadium Drive),,297,-76.95045855,38.99198405
"Service Building (University of Maryland, Police)",,3,-76.93614064,38.98597645
Sheep Barn,,109,-76.94144077,38.99169565
Shipley Field House (Baseball),,159,-76.94411344,38.9889419
Shoemaker Building,SHM,37,-76.9427455,38.9839376
Shriver Laboratory,SHR,75,-76.94191685,38.98727505
Shuttle Bus Facility,,P123,-76.93655041,38.9955167
Shuttle Bus Facility,,13,-76.93388917,38.98692845
Shuttle Bus Trailer 2,,410,-76.93407295,38.9870785
Sigma Delta Tau Sorority,,174,-76.93587565,38.9806496
Sigma Kappa Sorority,,135,-76.93514475,38.9832453
Sigma Phi Epsilon Fraternity,,133,-76.93418707,38.98356725
Skinner Building,SKN,44,-76.94184133,38.98480955
Somerset Hall (Residence Hall),SOM,63,-76.9455473,38.9850026
South Campus Commons 1,,996,-76.94293847,38.98211405
South Campus Commons 2,,997,-76.94293389,38.9828397
South Campus Commons 3,,998,-76.93972677,38.98147685
South Campus Commons 4,,999,-76.94142326,38.98128715
South Campus Commons 5,,974,-76.94470195,38.98275075
South Campus Commons 6,,975,-76.94467919,38.98216555
South Campus Commons 7,,281,-76.94455913,38.9815547
South Campus Dining Hall,SDH,26,-76.94368374,38.983048
South Gate (Regents Dr. and Rt. 1),,401,-76.938869,38.9823717
Special Education Trailer One,,104,-76.94795265,38.9869185
Special Education Trailer Two,,105,-76.94795265,38.9867484
Special Services Office Building,,100,-76.93443985,38.98651785
St. Mary's Hall (Residence Hall),STM,62,-76.94559837,38.9870071
Stadium Drive Parking Garage,SDG,218,-76.94899979,38.9910407
Susquehanna Hall,SQH,233,-76.94374974,38.9820745
Symons Hall,SYM,76,-76.94064555,38.9870811
Talbot Hall (Residence Hall),TAL,30,-76.9422561,38.9833387
Taliaferro Hall,TLF,43,-76.94309484,38.98484635
Tau Kappa Epsilon Fraternity,,128,-76.93563395,38.9846469
Tawes Fine Arts Building,TWS,141,-76.94832385,38.98598645
Technology Advancement Building,,387,-76.93861502,38.99251055
Technology Ventures Building,,806,-76.92550789,38.97964495
Temporary Building,,208,-76.93372961,38.9852606
Temporary Building1,,207,-76.93278549,38.9836276
Temporary Building2,,204,-76.93289606,38.983738
Terrapin Trail Parking Garage,,403,-76.94335284,38.99497
The Diner,,257,-76.94662532,38.9925679
The Domain,,A004,-76.94935829,38.98418695
The Varsity,,A003,-76.93445949,38.99146725
Track/Soccer Ticket Booth,,389,-76.94987008,38.9874593
Turner Hall (Dairy/Visitor Center),TUR,79,-76.93733717,38.98614065
Tydings Hall,TYD,42,-76.94400077,38.9848516
Thurgood Marshall Hall,TMH,433,-76.9387,38.9852
Tyser Tower,,361,-76.94780288,38.98970955
UMUC Hotel,,348,-76.95524824,38.9860612
UMUC Inn and Conference Center (ICC),ICC,345,-76.95407704,38.9860659
UMUC Student and Faculty Services Center,SFSC,346,-76.95333963,38.9866594
UMUC/University College Garage (PGUC),PGUC,347,-76.95441774,38.98699405
Union Lane Parking Garage,ULG,179,-76.9458968,38.98840855
University Baptist Church,,C100,-76.9537493,38.98425975
University Hills Apartments1,,288,-76.95624556,38.98514415
University Hills Apartments2,,287,-76.95720756,38.9850375
University Hills Apartments3,,286,-76.95823831,38.98494235
University Hills Apartments4,,292,-76.95835396,38.98442205
University Hills Apartments5,,291,-76.95735529,38.9844605
University Hills Apartments6,,290,-76.95627907,38.9843953
University Hills Apartments7,,289,-76.9558677,38.98447435
University United Methodist Church,,C101,-76.95135392,38.98421265
University View,,A001,-76.9344299,38.99256455
University View II,,A002,-76.93362104,38.99251945
Univesity Research Center (North),,F05,-76.92228872,38.9722927
Univesity Research Center (South),,F06,-76.92189881,38.970879
Van Munching Hall,VMH,39,-76.94703829,38.9830467
Varsity Sports Teamhouse,,158,-76.94518142,38.99006865
Washington Hall (Residence Hall),WSH,23,-76.94139247,38.9818076
Wicomico Hall (Residence Hall),WIC,69,-76.94584428,38.9837427
Wind Tunnel Building,WTU,81,-76.93684846,38.9899002
Woods Hall,WDS,47,-76.94184512,38.9851106
Worchester Hall (Residence Hall),WOR,51,-76.94499934,38.98467285
Zeta Beta Tau,,139,-76.9371918,38.9832052
Zeta Psi Fraternity,,138,-76.9366895,38.9832584
Zeta Tau Alpha,,137,-76.93618312,38.98325535
